Product Name,Product ID,Listing Price,Sale Price,Discount,Brand,Description,Rating,Reviews,Last Visited
WOMEN'S ADIDAS SWIM CLOUDFOAM FLIP FLOPS,B43601,3299,1649,50,Adidas CORE / NEO,A minimalist design with maximum post-workout comfort. These women's thong sandals feature a soft strap connected to a Cloudfoam footbed that cushions every step and dries quickly. A durable rubber outsole adds long-lasting wear.,2.7,62,2020-04-13T15:06:16
Women's adidas Sport Inspired Lite Racer Shoes,EE8245,4299,2149,50,Adidas CORE / NEO,Unstoppable style. These shoes borrow their lightweight look and feel from celebrated runners. The airy mesh upper has a clean finish with monochrome 3-Stripes. Plush cushioning helps keep the ride smooth.,3.8,67,2020-04-13T15:06:16
Women's adidas Running Duramo 9 Shoes,EE8042,5599,2799,50,Adidas CORE / NEO,"These women's neutral running shoes will get you on the road to your goals. A sandwich mesh upper offers lightweight breathability, while a seamless print overlay adds support for a stable stride. The midsole offers pillow-soft Cloudfoam cushioning that eases every stride.",5.0,30,2020-04-13T15:06:16
Women's adidas Sport Inspired Arcadeis Shoes,CL7429,4299,2149,50,Adidas CORE / NEO,These women's running-inspired shoes cradle your feet with a net mesh upper. Pillow-soft Cloudfoam cushioning in the one-piece midsole and outsole provides comfort that lasts all day long.,3.7,43,2020-04-13T15:06:17
Women's adidas Sport Inspired Videll Shoes,CL7370,3799,2279,40,Adidas CORE / NEO,Extremely functional and subtle running-inspired shoes for women. Feature a textile-mesh upper and synthetic overlays. EVA cushioning adds extra comfort. The running 3-Stripes on the sides along with an interesting all-over print on the upper add to it's appeal.,3.9,13,2020-04-13T15:06:17
Women's adidas Running EnergyFalcon X Shoes,EE9946,6599,3299,50,Adidas CORE / NEO,"When you dig deep to reach your goals, these running shoes offer the support and stability you need. Every step feels pillow-soft with plush cushioning and an OrthoLiteÂ® sockliner for comfort. A flowing TPU heel counter and thin support cage keep the foot centred and stable. The durable outsole is made for logging many miles.",4.4,81,2020-04-13T15:06:17
Women's adidas Sport Inspired Videll Shoes,CK9741,3799,1899,50,Adidas CORE / NEO,Extremely functional and subtle running-inspired shoes for women. Feature a textile mesh upper and synthetic overlays. EVA cushioning adds extra comfort. The running 3-Stripes on the sides along with an interesting all-over print on the upper add to it's appeal.,3.6,70,2020-04-13T15:06:17
Women's adidas Running Hellion Z Shoes,CL7363,3299,1979,40,Adidas CORE / NEO,Great everyday trainer for the runner in you to go that extra mile. The adidas Hellion Z shoes comes with mesh upper for providing lightweight and breathability to your feet.,2.7,46,2020-04-13T15:06:17
Women's adidas Sport Inspired Videll Shoes,CL7372,3799,2279,40,Adidas CORE / NEO,Extremely functional and subtle running-inspired shoes for women. Feature a textile-mesh upper and synthetic overlays. EVA cushioning adds extra comfort. The running 3-Stripes on the sides along with an interesting all-over print on the upper add to it's appeal.,3.2,63,2020-04-13T15:06:17
Women's adidas Sport Inspired Arcadeis Shoes,CL7430,4299,2149,50,Adidas CORE / NEO,These women's running-inspired shoes cradle your feet with a net mesh upper. Pillow-soft Cloudfoam cushioning in the one-piece midsole and outsole provides comfort that lasts all day long.,4.9,95,2020-04-13T15:06:17
Women's adidas Sport Inspired Cloudfoam Pure Shoes,F34485,5599,3359,40,Adidas CORE / NEO,These women's running-inspired shoes cradle your feet with a mesh upper and a Memory Foam footbed that conforms to the shape of your foot. Pillow-soft Cloudfoam cushioning in the one-piece midsole and outsole provides comfort that lasts all day long.,5.0,15,2020-04-13T15:06:18
Women's adidas Running Hellion Z Shoes,CL7365,3299,1979,40,Adidas CORE / NEO,"The adidas Hellion Z Running shoes for women with new design pattern for any runner looking for trendy yet extremely comfortable running shoe. An excellent combination of breathable Mesh with synthetic overlays on the upper makes it very comfortable for your feet on the run. Durable, non slippery, blown out one piece super grip EVA midsole and Rubber outsole ensures maximum stability and grip on the ground.",3.6,34,2020-04-13T15:06:18
Women's adidas Sport Inspired Yking 2.0 Shoes,CL7373,3299,1979,40,Adidas CORE / NEO,"These lightweight running-inspired shoes for women give all round comfort, cushioning, durability & support in a simplistic design. The mesh upper ensure breathability and durability. Lightstrike EVA midsole gives you cushioning you need everyday and Rubber outsole provides durability.",2.2,86,2020-04-13T15:06:18
Women's adidas Running Hellion Z Shoes,CL7364,3299,1979,40,Adidas CORE / NEO,"The adidas Hellion Z Running shoes for women with new design pattern for any runner looking for trendy yet extremely comfortable running shoe. An excellent combination of breathable Mesh with synthetic overlays on the upper makes it very comfortable for your feet on the run. Durable, non slippery, blown out one piece super grip EVA midsole and Rubber outsole ensures maximum stability and grip on the ground.",3.9,3,2020-04-13T15:06:18
Women's adidas Sport Inspired Yking 2.0 Shoes,CL7374,3299,1979,40,Adidas CORE / NEO,"These lightweight running-inspired shoes for women give all round comfort, cushioning, durability & support in a simplistic design. The mesh upper ensure breathability and durability. Lightstrike EVA midsole gives you cushioning you need everyday and Rubber outsole provides durability.",3.4,67,2020-04-13T15:06:18
Women's adidas Sport Inspired RunFalcon Shoes,EE8167,5599,3359,40,Adidas CORE / NEO,"Start clocking miles in these lightweight running shoes. On the treadmill or the streets, they add comfort to each step with soft cushioning. The supportive trainers have an airy material-mix upper and a midfoot cage for extra support.",3.3,5,2020-04-13T15:06:18
Women's adidas Sport Inspired Quickspike Shoes,CL7410,3999,2399,40,Adidas CORE / NEO,"These women's running-inspired shoes feature a breathable mesh upper with a comfort collar, while a moulded overlay provides lightweight support. The soft Cloudfoam cushioning in the one-piece midsole and outsole provides comfort that lasts all day long.",4.8,85,2020-04-13T15:06:18
Women's adidas Sport Inspired Blaze Runner Shoes,CL7401,5599,3359,40,Adidas CORE / NEO,Extremely functional and subtle running-inspired shoes for women. The breathable and lightweight Knit-Mesh offer extended ventilation and comfort. Cloudfoam midsole and full Adiwear outsole provides durability.,3.6,4,2020-04-13T15:06:18
Women's adidas Sport Inspired Lite Racer CLN Shoes,EE8219,4599,2759,40,Adidas CORE / NEO,"Designed with sleek lines for a minimalist look, these shoes have a light and breathable mesh upper. Pillowy cushioning delivers comfort that lasts all day.",4.1,35,2020-04-13T15:06:18
Women's adidas Sport Inspired Blaze Runner Shoes,CL7402,5599,3359,40,Adidas CORE / NEO,Extremely functional and subtle running-inspired shoes for women. The breathable and lightweight Knit-Mesh offer extended ventilation and comfort. Cloudfoam midsole and full Adiwear outsole provides durability.,3.6,13,2020-04-13T15:06:18
Women's adidas Nova Run X Shoes,EE9929,8599,5159,40,Adidas CORE / NEO,"Being comfortable on your run is just as important as winning the race. These shoes combine soft, supportive Cloudfoam cushioning with a durable Adiwear outsole for comprehensive control and an energised ride. The mesh upper features a foot-hugging, no-sew fit for a locked-in feel.",2.5,20,2020-04-13T15:06:18
Women's adidas Sport Inspired Questar Flow Shoes,EE8221,6599,3959,40,Adidas CORE / NEO,Ready for the streets. These shoes borrow their modern look and feel from lightweight runners. They have a flexible knit upper with floating 3-Stripes integrated into the lacing system. Pillow-soft midsole and outsole cushioning provides all-day comfort.,2.7,41,2020-04-13T15:06:18
Women's adidas Sport Inspired Questar Flow Shoes,EE8224,6599,3959,40,Adidas CORE / NEO,Ready for the streets. These shoes borrow their modern look and feel from lightweight runners. They have a flexible knit upper with floating 3-Stripes integrated into the lacing system. Pillow-soft midsole and outsole cushioning provides all-day comfort.,2.5,72,2020-04-13T15:06:18
Women's adidas Running EnergyFalcon X Shoes,EE9941,6599,3959,40,Adidas CORE / NEO,"When you dig deep to reach your goals, these running shoes offer the support and stability you need. Every step feels pillow-soft with plush cushioning and an OrthoLiteÂ® sockliner for comfort. A flowing TPU heel counter and thin support cage keep the foot centred and stable. The durable outsole is made for logging many miles.",1.5,32,2020-04-13T15:06:19
Women's adidas Running Asweego Shoes,EE8522,7599,4559,40,Adidas CORE / NEO,Shoes with flexibility and responsiveness for multisport training. These shoes have a knit textile upper that hugs the foot for a sock-like fit. Pillow-like midsole cushioning provides long-lasting comfort. Durable rubber inserts at the forefoot and heel provide added grip so you're ready for unexpected terrain.,2.6,84,2020-04-13T15:06:19
Women's adidas Running Sooraj Shoes,EE9932,5599,3359,40,Adidas CORE / NEO,"Fast and sleek. Ready to go. These women's running shoes feature a streamlined, low-profile design and pillow-soft Cloudfoam cushioning for plush landings. The mesh upper delivers a speedy look in fun colours and 3-Stripes.",5.0,75,2020-04-13T15:06:19
Women's adidas Sport Inspired Questar Ride Shoes,EE8375,6999,4199,40,Adidas CORE / NEO,"Inspired by modern tech runners, these women's shoes step out with unexpected style. A two-tone mesh upper keeps the feel flexible and mixes with a sculpted Cloudfoam midsole and contrast heel counter.",4.5,4,2020-04-13T15:06:19
Men's adidas Sport Inspired Run 70s Shoes,EE9798,5599,3359,40,Adidas CORE / NEO,"These running-inspired shoes are designed with a mesh upper and a textile lining for flexible, all-day comfort. 3-Stripes and a rubber outsole give the shoes a stylish sign-off.",3.9,48,2020-04-13T15:06:19
Women's adidas Running Asweerun Shoes,EE8502,4999,2999,40,Adidas CORE / NEO,"Aspire to greatness. These running shoes for women are made with an airy, lightweight mesh upper. The durable rubber outsole grips the pavement for added stability. A cushioned midsole brings comfort to each step.",3.2,12,2020-04-13T15:06:19
Women's adidas Sport Inspired Archivo Shoes,EF0450,4999,2999,40,Adidas CORE / NEO,A mix of modern comfort and authentic adidas heritage. These running-inspired shoes treat your feet to superior cushioning and an ultra-plush ride with a Cloudfoam midsole and soft sockliner. A sleek mesh upper features suede overlays with subtle 3-Stripes for sporty style.,3.9,83,2020-04-13T15:06:19
Women's Sport Inspired Yking 2.0 Shoes,CL7375,3299,1979,40,Adidas CORE / NEO,"These lightweight running-inspired shoes for women give all round comfort, cushioning, durability & support in a simplistic design. The mesh upper ensure breathability and durability. Lightstrike EVA midsole gives you cushioning you need everyday and Rubber outsole provides durability.",2.0,11,2020-04-13T15:06:19
Women's adidas Sport Inspired Archivo Shoes,EF0446,4999,2999,40,Adidas CORE / NEO,A mix of modern comfort and authentic adidas heritage. These running-inspired shoes treat your feet to superior cushioning and an ultra-plush ride with a Cloudfoam midsole and soft sockliner. A sleek mesh upper features suede overlays with subtle 3-Stripes for sporty style.,1.0,42,2020-04-13T15:06:19
Women's adidas Running Response Trail X Shoes,EF0529,6999,4199,40,Adidas CORE / NEO,"When the road turns to trail, all that matters is what lies ahead. These running shoes deliver a plush ride and confident grip in a fresh, sporty look. Cloudfoam cushioning feels ultra-soft while the aggressive outsole grabs on in all directions. The multilayer upper and sleek 3-Stripes elevate your look when you get back to town.",3.3,69,2020-04-13T15:06:19
Women's adidas Running EnergyFalcon X Shoes,EE9940,6599,3959,40,Adidas CORE / NEO,"When you dig deep to reach your goals, these running shoes offer the support and stability you need. Every step feels pillow-soft with plush cushioning and an OrthoLiteÂ® sockliner for comfort. A flowing TPU heel counter and thin support cage keep the foot centred and stable. The durable outsole is made for logging many miles.",4.1,33,2020-04-13T15:06:19
Women's adidas Originals Marathon Tech Shoes,EE4954,11999,7199,40,Adidas ORIGINALS,"These shoes draft off the Marathon TR, a trail-running pioneer that debuted in 1979. The upper mixes breathable mesh and suede overlays with metallic details. A grid print on the midsole highlights the addition of responsive Boost cushioning.",4.4,35,2020-04-13T15:06:19
Women's adidas Originals U_Path Run Shoes,G27996,7999,4799,40,Adidas ORIGINALS,"The U_Path offers a sleek combination of retro and modern. These shoes are built of soft, breathable mesh for everyday wear. The unique D-ring lacing system is inspired by a '70s running sneaker design. A bungee heel piece provides support, and a lightweight EVA midsole adds all-day wearability.",4.8,18,2020-04-13T15:06:19
Men's adidas Sport Inspired Drogo Shoes,CL4156,2699,1349,50,Adidas CORE / NEO,The adidas running-inspired shoes for men. An excellent combination of breathable Mesh with synthetic overlays on the upper makes it very comfortable for your feet on the run. Durable and non slippery one piece super grip EVA midsole and outsole ensures maximum stability and grip on the ground.,3.5,89,2020-04-13T15:06:19
Women's adidas Originals Stan Smith Shoes,EE4893,7999,4799,40,Adidas ORIGINALS,"Since it first hit the courts in the early '70s, the Stan Smith has become legendary for its timeless style. These shoes pay tribute to the iconic design by preserving the low-profile cupsole and perforated 3-Stripes. The allover floral print on the upper gives this version a fresh twist.",4.0,47,2020-04-13T15:06:19
Women's adidas Running Sooraj Shoes,EE9937,5599,3359,40,Adidas CORE / NEO,"Fast and sleek. Ready to go. These women's running shoes feature a streamlined, low-profile design and pillow-soft Cloudfoam cushioning for plush landings. The mesh upper delivers a speedy look in fun colours and 3-Stripes.",4.8,94,2020-04-13T15:06:19
Women's adidas Originals U_Path Run Shoes,G27649,7999,4799,40,Adidas ORIGINALS,"The U_Path offers a sleek combination of retro and modern. These shoes are built of soft, breathable mesh for everyday wear. The unique D-ring lacing system is inspired by a '70s running sneaker design. A bungee heel piece provides support, and a lightweight EVA midsole adds all-day wearability.",4.5,35,2020-04-13T15:06:20
Men's adidas Sport Inspired Run 70s Shoes,EE9797,5599,3359,40,Adidas CORE / NEO,"These running-inspired shoes are designed with a mesh upper and a textile lining for flexible, all-day comfort. 3-Stripes and a rubber outsole give the shoes a stylish sign-off.",4.7,39,2020-04-13T15:06:20
Men's adidas Running Nayo 1.0 shoes,CI9914,4999,2000,60,Adidas CORE / NEO,"The adidas Nayo 1.0 shoes for men. These lightweight running shoes give all round comfort, cushioning, durability & support in a simplistic design. The mesh upper ensure breathability and durability while the Light strike EVA midsole provides premium cushioning's. Full Rubber outsole provides durability.",3.8,98,2020-04-13T15:06:20
Men's adidas Sports Inspired Lite Racer Shoes,EE8252,4299,2149,50,Adidas CORE / NEO,The ultra-lightweight build of these shoes takes a running-inspired style to the streets. The sporty look has a breathable and durable mesh upper with stitched-on 3-Stripes. EVA cushioning provides lightweight comfort for every step.,1.5,6,2020-04-13T15:06:20
Men's adidas Running Nepton 2.0 Shoes,CK9664,5999,2999,50,Adidas CORE / NEO,Sleek design with reflective three stripes makes it a contemporary yet functional shoe. Breathable textile upper for maximum ventilation and a cushioned midsole provides all-day comfort with rubber outsole for best durability in high wear areas.,0.0,17,2020-04-13T15:06:20
Women's adidas Running Aseerun Shoes,EE8501,4999,2999,40,Adidas CORE / NEO,"Aspire to greatness. These running shoes for women are made with an airy, lightweight mesh upper. The durable rubber outsole grips the pavement for added stability. A cushioned midsole brings comfort to each step.",4.8,77,2020-04-13T15:06:20
Men's adidas Running Torik Shoes,CL7602,4799,2399,50,Adidas CORE / NEO,"A well cushioned shoe with a fresher look that will appeal to young runners. Features Mesh upper for maximum ventilation, lightstrike IMEVA midsole with visible adiprene providing protection from harmful impact forces and durable Rubber outsole for long-lasting wear.",4.4,17,2020-04-13T15:06:20
Men's adidas Sport Inspired Kalus 1.0 Shoes,CL7494,4599,2299,50,Adidas CORE / NEO,"A well cushioned running-inspired shoes with a fresher look that will appeal to all. Features Mesh upper for maximum ventilation, lightstrike IMEVA midsole with visible adiprene providing protection from harmful impact forces and durable Rubber outsole for long-lasting wear.",3.0,28,2020-04-13T15:06:20
Men's adidas Running Duramo 9 Shoes,EE7923,5999,3599,40,Adidas CORE / NEO,"These men's running shoes will get you on the road to your goals. A sandwich mesh upper offers lightweight breathability, while a seamless print overlay adds support for a stable stride. The midsole offers pillow-soft Cloudfoam cushioning that eases every stride.",3.9,88,2020-04-13T15:06:20
Women's adidas Originals Continental 80 Shoes,EE5566,7999,4799,40,Adidas ORIGINALS,The Continental 80 is an authentic reissue of an indoor sneaker from the '80s. These leather low top shoes show off a swooping stripe on the side and a split rubber cupsole.,4.0,23,2020-04-13T15:06:20
MEN'S adidas RUNNING YAMO 1.0 SHOES,CI1821,4799,2399,50,Adidas CORE / NEO,The adidas Yamo 1.0 shoes for men. These lightweight running shoes have a combination of Synthetic with double layer Mesh ensure breathability and durability while the Lightstrike EVA midsole provides premium cushionings. Full Rubber outsole provides durability.,4.3,8,2020-04-13T15:06:20
men's ADIDAS RUNNING NEBULAR 1.0 SHOES,CJ0082,4599,2299,50,Adidas CORE / NEO,The premium looking adidas Nebular 1.0 Running shoes for men crafted with Mesh overlays which make it lightweight. The breathable sandwich Mesh offer extended ventilation and comfort. Light strike IMEVA midsole with full Rubber outsole provides durability.,4.3,64,2020-04-13T15:06:20
MEN'S ADIDAS RUNNING LEGUS SHOES,CJ8062,5999,2999,50,Adidas CORE / NEO,"Get maximum support, comfort and a refreshed look with these adidas Legus shoes for men. The textile mesh upper is breathable and has a sock-like fit and the supportive cage in the shoe's midfoot provides midfoot lockdown. CLOUDFOAM gives instant step in-comfort, long-lasting responsive cushioning and a super-plush feel and the Rubber outsole gives ultimate durability.",3.7,52,2020-04-13T15:06:20
Men's adidas Originals Supercourt Shoes,EE6038,7599,4559,40,Adidas ORIGINALS,The Supercourt distills 40 years of adidas tennis style. This version of the classic low-profile shoes has perforated 3-Stripes on a crisp leather upper. Decorative stitching and overlays add texture and depth for a multilayered look.,4.3,70,2020-04-13T15:06:20
Men's adidas Toe Side II Slippers,CM0068,1299,779,40,Adidas CORE / NEO,"The adidas casual sandals for men with a striking camouflage design. Features stylish webbing straps, Diecut EVA midsole for stable cushioning and abrasion resistant rubber outsole with wet and dry traction pattern.",1.5,59,2020-04-13T15:06:20
Men's adidas Outdoor Elevate Sandals,CK9830,2799,1399,50,Adidas SPORT PERFORMANCE,Stylish and sleek adidas sandals for women are extremely lightweight. Adjustable straps enable optimal fit while the Synthetic upper and soft EVA footbed with fitted heel provide enhanced comfort. Rubber outsole with wet and dry traction pattern keeps you in control.,2.8,14,2020-04-13T15:06:20
men's ADIDAS RUNNING NEBULAR 1.0 SHOES,CJ0080,4599,2299,50,Adidas CORE / NEO,The premium looking adidas Nebular 1.0 Running shoes for men crafted with Mesh overlays which make it lightweight. The breathable sandwich Mesh offer extended ventilation and comfort. Light strike IMEVA midsole with full Rubber outsole provides durability.,5.0,2,2020-04-13T15:06:20
Men's adidas Originals Superstar Shoes,EG4957,7999,7999,0,Adidas ORIGINALS,"These trainers born in the '70s keep the look classic with a coated leather upper. They feature all the authentic details, including zigzag edging on the tonal 3-Stripes and the signature rubber shell toe.",4.9,38,2020-04-13T15:06:20
Men's adidas Originals Stan Smith Shoes,BD7438,7999,3999,50,Adidas ORIGINALS,The chic minimalism of the Stan Smith invites endless variation. These men's shoes are updated for the season with a subtle twist. A small cutout Trefoil makes a surprise appearance on the smooth leather upper.,4.0,85,2020-04-13T15:06:20
Men's adidas Sport Inspired Duramo Lite 2.0 Shoes,B75579,4999,2499,50,Adidas CORE / NEO,"Refine your interval training in these men's versatile running-inspired shoes. Featuring a lightweight mesh and synthetic upper, they combine responsive midsole cushioning with a soft collar that reduces ankle pressure.",4.3,6,2020-04-13T15:06:20
Men's adidas Swim Ozor III Slippers,CM0057,1299,779,40,Adidas CORE / NEO,"The simple and stylish adidas Ozor III slippers for men. Best suited to match with your swimwear, these printed slippers have a soft footbed for additional comfort for your feet while the Synthetic strap with vents provides breathability proper fitting.",2.2,46,2020-04-13T15:06:21
Men's adidas Swim Gadi Slippers,CL0206,1499,749,50,Adidas CORE / NEO,These thongs are primed for warm-weather fun in a simple design with an urban inspired city graphic print on footbed and adidas brading featured on heel and strap.,3.7,9,2020-04-13T15:06:21
MEN'S ADIDAS RUNNING LEGUS SHOES,CJ8058,5999,2999,50,Adidas CORE / NEO,"Get maximum support, comfort and a refreshed look with these adidas Legus shoes for men. The textile mesh upper is breathable and has a sock-like fit and the supportive cage in the shoe's midfoot provides midfoot lockdown. CLOUDFOAM gives instant step in-comfort, long-lasting responsive cushioning and a super-plush feel and the Rubber outsole gives ultimate durability.",2.7,87,2020-04-13T15:06:21
Men's adidas Originals CAMPUS Low Shoes,BZ0086,7999,3999,50,Adidas ORIGINALS,"This men's classic sneaker stays close to its trendsetting '80s design, while staying modern for today's streets. Boasting a suede upper with contrast 3-Stripes and heel patch, these shoes feature a reinforced toe cap. The cupsole leaves a herringbone-pattern footprint for a retro twist.",2.0,28,2020-04-13T15:06:21
MEN'S ADIDAS RUNNING HELKIN 3.0 SHOES,CJ8117,4599,2299,50,Adidas CORE / NEO,Style and performance go hand in hand in this adidas Helkin 3.0 Running shoes for men. The breathable upper Knit-Mesh offers maximum ventilation. EVA midsole and rubber outsole.,4.0,87,2020-04-13T15:06:21
MEN'S ADIDAS RUNNING LEGUS 1.0 SHOES,CJ8073,5599,2799,50,Adidas CORE / NEO,"Get maximum support, comfort and a refreshed look with these adidas Legus shoes for men. The textile mesh upper is breathable and has a sock-like fit and the supportive cage in the shoe's midfoot provides midfoot lockdown. CLOUDFOAM gives instant step in-comfort, long-lasting responsive cushioning and a super-plush feel and the Rubber outsole gives ultimate durability.",2.5,66,2020-04-13T15:06:21
Men's adidas Running Kollide Shoes,CL7551,4799,2399,50,Adidas CORE / NEO,Extremely functional and subtle running shoes for men. The breathable and lightweight textile upper offer extended ventilation and comfort. The Cloudfoam midsole gives you cushioning you need everyday and Rubber outsole provides durability.,5.0,54,2020-04-13T15:06:21
Men's adidas Running Edge PR Shoes,AC8122,7999,3999,50,Adidas SPORT PERFORMANCE,"With a springy midsole and breathable upper, these men's running shoes are inspired by a racing flat. Bounce provides flexible cushioning for energised comfort, and a mesh upper keeps them lightweight.",4.2,66,2020-04-13T15:06:21
Men's adidas Originals FuturePacer Shoes,CM8453,19999,9999,50,Adidas ORIGINALS,The Futurepacer reworks the revolutionary design of the 1984 Micropacer shoes to challenge old ideas of what a sneaker should look like. This futuristic style makes a statement with a fully reflective stretchy upper and a mix of premium leathers. A Boost midsole with textured EVA plugs returns energy with every stride.,3.5,1,2020-04-13T15:06:21
MEN'S ADIDAS ORIGINALS MICROPACER X R1 SHOES,EE3625,15999,7999,50,Adidas ORIGINALS,"These shoes are a hybrid of retro and modern adidas designs. Made in leather with suede overlays, they combine the midsole look of the NMD_R1 with the vintage-tech upper of the 1984 Micropacer, born during an era when wearable technology was an exciting new concept. The Boost midsole adds durable energy return.",0.0,94,2020-04-13T15:06:21
Men's adidas Outdoor Andorian Shoes,CM0031,4599,2299,50,Adidas SPORT PERFORMANCE,"The adidas Andorian shoes for men are crafted with a strong, grippy outsole inspired by mountain bike tires, and a super durable Mesh and Synthetic upper. They come with Lightweight EVA midsole for stability and cushioning while the abrasion resistant rubber outsole provides aggressive traction for rough terrain.",0.0,49,2020-04-13T15:06:21
