skills_required,Skill_level,interests,interest_Levels,Career,assessment_score
Ruby on Rails,intermediate,base Management,0.7,Backend Developer,0.90
Ruby on Rails,intermediate,base Management,0.9,Backend Developer,0.50
RESTful APIs,advanced,API Development,0.5,Backend Developer,0.60
RESTful APIs,advanced,API Development,0.7,Backend Developer,0.70
RESTful APIs,advanced,API Development,0.9,Backend Developer,0.80
HTML,beginner,End-to-End Development,0.5,Full Stack Developer,0.50
HTML,beginner,End-to-End Development,0.7,Full Stack Developer,0.60
HTML,beginner,End-to-End Development,0.9,Full Stack Developer,0.70
CSS,intermediate,Cross-Functional Skills,0.5,Full Stack Developer,0.80
CSS,intermediate,Cross-Functional Skills,0.7,Full Stack Developer,0.90
CSS,intermediate,Cross-Functional Skills,0.9,Full Stack Developer,0.50
Python,advanced,Code Integration,0.5,Full Stack Developer,0.60
Python,advanced,Code Integration,0.7,Full Stack Developer,0.70
Python,advanced,Code Integration,0.9,Full Stack Developer,0.80
HTML,beginner,Visual Design,0.5,Web Designer,0.50
HTML,beginner,Visual Design,0.7,Web Designer,0.60
HTML,beginner,Visual Design,0.9,Web Designer,0.70
CSS,intermediate,Web Layout,0.5,Web Designer,0.80
CSS,intermediate,Web Layout,0.7,Web Designer,0.90
CSS,intermediate,Web Layout,0.9,Web Designer,0.50
Adobe Creative Suite,advanced,User Experience,0.5,Web Designer,0.60
Adobe Creative Suite,advanced,User Experience,0.7,Web Designer,0.70
Adobe Creative Suite,advanced,User Experience,0.9,Web Designer,0.80
Business Analysis,beginner,Process Improvement,0.5,Business Analyst,0.50
Business Analysis,beginner,Process Improvement,0.7,Business Analyst,0.60
Business Analysis,beginner,Process Improvement,0.9,Business Analyst,0.70
 Analysis,intermediate,Business Efficiency,0.5,Business Analyst,0.80
 Analysis,intermediate,Business Efficiency,0.7,Business Analyst,0.90
 Analysis,intermediate,Business Efficiency,0.9,Business Analyst,0.50
Database Management,beginner, Security,0.5,Database Administrator,0.50
Database Management,beginner, Security,0.7,Database Administrator,0.60
Database Management,beginner, Security,0.9,Database Administrator,0.70
SQL,intermediate,base Optimization,0.5,Database Administrator,0.80
SQL,intermediate,base Optimization,0.7,Database Administrator,0.90
SQL,intermediate,base Optimization,0.9,Database Administrator,0.50
Network Configuration,beginner,Network Infrastructure,0.5,Network Engineer,0.50
Network Configuration,beginner,Network Infrastructure,0.7,Network Engineer,0.60
Network Configuration,beginner,Network Infrastructure,0.9,Network Engineer,0.70
Troubleshooting,intermediate,Connectivity Solutions,0.5,Network Engineer,0.80
Troubleshooting,intermediate,Connectivity Solutions,0.7,Network Engineer,0.90
Troubleshooting,intermediate,Connectivity Solutions,0.9,Network Engineer,0.50
Cloud Platforms,beginner,Continuous Integration,0.5,DevOps Engineer,0.50
Cloud Platforms,beginner,Continuous Integration,0.7,DevOps Engineer,0.60
Cloud Platforms,beginner,Continuous Integration,0.9,DevOps Engineer,0.70
d Tools,intermediate,Deployment Automation,0.5,DevOps Engineer,0.80
d Tools,intermediate,Deployment Automation,0.7,DevOps Engineer,0.90
d Tools,intermediate,Deployment Automation,0.9,DevOps Engineer,0.50
Cloud Platforms,beginner,Cloud Architecture,0.5,Cloud Solutions Architect,0.50
Cloud Platforms,beginner,Cloud Architecture,0.7,Cloud Solutions Architect,0.60
Cloud Platforms,beginner,Cloud Architecture,0.9,Cloud Solutions Architect,0.70
Scalability,intermediate,Scalable Solutions,0.5,Cloud Solutions Architect,0.80
Scalability,intermediate,Scalable Solutions,0.7,Cloud Solutions Architect,0.90
Scalability,intermediate,Scalable Solutions,0.9,Cloud Solutions Architect,0.50
Sales,beginner,Sales Strategies,0.5,Sales Executive,0.50
Sales,beginner,Sales Strategies,0.7,Sales Executive,0.60
Sales,beginner,Sales Strategies,0.9,Sales Executive,0.70
Negotiation,intermediate,Customer Engagement,0.5,Sales Executive,0.80
Negotiation,intermediate,Customer Engagement,0.7,Sales Executive,0.90
Negotiation,intermediate,Customer Engagement,0.9,Sales Executive,0.50
Communication,advanced,Market Analysis,0.5,Sales Executive,0.60
Communication,advanced,Market Analysis,0.7,Sales Executive,0.70
Communication,advanced,Market Analysis,0.9,Sales Executive,0.80
Marketing Strategy,beginner,Marketing Campaigns,0.5,Marketing Manager,0.50
Marketing Strategy,beginner,Marketing Campaigns,0.7,Marketing Manager,0.60
Marketing Strategy,beginner,Marketing Campaigns,0.9,Marketing Manager,0.70
Digital Marketing,intermediate,Brand Promotion,0.5,Marketing Manager,0.80
Digital Marketing,intermediate,Brand Promotion,0.7,Marketing Manager,0.90
Digital Marketing,intermediate,Brand Promotion,0.9,Marketing Manager,0.50
Financial Analysis,beginner,Financial Modeling,0.5,Financial Analyst,0.50
Financial Analysis,beginner,Financial Modeling,0.7,Financial Analyst,0.60
Financial Analysis,beginner,Financial Modeling,0.9,Financial Analyst,0.70
Excel,intermediate,Investment Analysis,0.5,Financial Analyst,0.80
Excel,intermediate,Investment Analysis,0.7,Financial Analyst,0.90
Excel,intermediate,Investment Analysis,0.9,Financial Analyst,0.50
HR Management,beginner,Employee Development,0.5,HR Manager,0.50
HR Management,beginner,Employee Development,0.7,HR Manager,0.60
HR Management,beginner,Employee Development,0.9,HR Manager,0.70
Employee Relations,intermediate,HR Policies,0.5,HR Manager,0.80
Employee Relations,intermediate,HR Policies,0.7,HR Manager,0.90
Employee Relations,intermediate,HR Policies,0.9,HR Manager,0.50
Project Management,beginner,Project Planning,0.5,Project Manager,0.50
Project Management,beginner,Project Planning,0.7,Project Manager,0.60
Project Management,beginner,Project Planning,0.9,Project Manager,0.70
Team Leadership,intermediate,Stakeholder Management,0.5,Project Manager,0.80
Team Leadership,intermediate,Stakeholder Management,0.7,Project Manager,0.90
Team Leadership,intermediate,Stakeholder Management,0.9,Project Manager,0.50
Writing,beginner,Creative Writing,0.5,Content Writer,0.50
Writing,beginner,Creative Writing,0.7,Content Writer,0.60
Writing,beginner,Creative Writing,0.9,Content Writer,0.70
Communication,intermediate,Content Creation,0.5,Content Writer,0.80
Communication,intermediate,Content Creation,0.7,Content Writer,0.90
Communication,intermediate,Content Creation,0.9,Content Writer,0.50
Graphic Design,beginner,Visual Creativity,0.5,Graphic Designer,0.50
Graphic Design,beginner,Visual Creativity,0.7,Graphic Designer,0.60
Graphic Design,beginner,Visual Creativity,0.9,Graphic Designer,0.70
Adobe Creative Suite,intermediate,Graphic Artistry,0.5,Graphic Designer,0.80
Adobe Creative Suite,intermediate,Graphic Artistry,0.7,Graphic Designer,0.90
Adobe Creative Suite,intermediate,Graphic Artistry,0.9,Graphic Designer,0.50
Cybersecurity,beginner,Threat Detection,0.5,Cybersecurity Analyst,0.50
Cybersecurity,beginner,Threat Detection,0.7,Cybersecurity Analyst,0.60
Cybersecurity,beginner,Threat Detection,0.9,Cybersecurity Analyst,0.70
Network Security,intermediate,Security Protocols,0.5,Cybersecurity Analyst,0.80
Network Security,intermediate,Security Protocols,0.7,Cybersecurity Analyst,0.90
Network Security,intermediate,Security Protocols,0.9,Cybersecurity Analyst,0.50
Quality Assurance,beginner,QA Testing,0.5,Quality Assurance Specialist,0.50
Quality Assurance,beginner,QA Testing,0.7,Quality Assurance Specialist,0.60
Quality Assurance,beginner,QA Testing,0.9,Quality Assurance Specialist,0.70
Testing Techniques,intermediate,Bug Tracking,0.5,Quality Assurance Specialist,0.80
Testing Techniques,intermediate,Bug Tracking,0.7,Quality Assurance Specialist,0.90
Testing Techniques,intermediate,Bug Tracking,0.9,Quality Assurance Specialist,0.50
Machine Learning,beginner,AI Research,0.5,AI Researcher,0.50
Machine Learning,beginner,AI Research,0.7,AI Researcher,0.60
Machine Learning,beginner,AI Research,0.9,AI Researcher,0.70
IoT Protocols,beginner,Internet of Things,0.5,IoT Specialist,0.50
IoT Protocols,beginner,Internet of Things,0.7,IoT Specialist,0.60
IoT Protocols,beginner,Internet of Things,0.9,IoT Specialist,0.70
Embedded Systems,intermediate,Sensor Networks,0.5,IoT Specialist,0.80
Embedded Systems,intermediate,Sensor Networks,0.7,IoT Specialist,0.90
Embedded Systems,intermediate,Sensor Networks,0.9,IoT Specialist,0.50
Digital Marketing,beginner,Online Marketing,0.5,Digital Marketing Specialist,0.50
Digital Marketing,beginner,Online Marketing,0.7,Digital Marketing Specialist,0.60
Digital Marketing,beginner,Online Marketing,0.9,Digital Marketing Specialist,0.70
Social Media,intermediate,Web Analytics,0.5,Digital Marketing Specialist,0.80
Social Media,intermediate,Web Analytics,0.7,Digital Marketing Specialist,0.90
Social Media,intermediate,Web Analytics,0.9,Digital Marketing Specialist,0.50
Customer Support,beginner,Customer Service,0.5,Customer Support Specialist,0.50
Customer Support,beginner,Customer Service,0.7,Customer Support Specialist,0.60
Customer Support,beginner,Customer Service,0.9,Customer Support Specialist,0.70
Game Development,beginner,Game Design,0.5,Game Developer,0.50
Game Development,beginner,Game Design,0.7,Game Developer,0.60
Game Development,beginner,Game Design,0.9,Game Developer,0.70
Game Engines,intermediate,Gameplay Mechanics,0.5,Game Developer,0.80
Game Engines,intermediate,Gameplay Mechanics,0.7,Game Developer,0.90
Game Engines,intermediate,Gameplay Mechanics,0.9,Game Developer,0.50
Mobile App Development,beginner,Mobile Apps,0.5,Mobile App Developer,0.50
Mobile App Development,beginner,Mobile Apps,0.7,Mobile App Developer,0.60
Mobile App Development,beginner,Mobile Apps,0.9,Mobile App Developer,0.70
Cross-Platform,intermediate,App Design,0.5,Mobile App Developer,0.80
Cross-Platform,intermediate,App Design,0.7,Mobile App Developer,0.90
Cross-Platform,intermediate,App Design,0.9,Mobile App Developer,0.50
Software Testing,beginner,Quality Assurance,0.5,Software Tester,0.50
Software Testing,beginner,Quality Assurance,0.7,Software Tester,0.60
Software Testing,beginner,Quality Assurance,0.9,Software Tester,0.70
User Interface Design,beginner,User Experience,0.5,UI/UX Designer,0.50
User Interface Design,beginner,User Experience,0.7,UI/UX Designer,0.60
User Interface Design,beginner,User Experience,0.9,UI/UX Designer,0.70
Prototyping,intermediate,User-Centered Design,0.5,UI/UX Designer,0.80
Prototyping,intermediate,User-Centered Design,0.7,UI/UX Designer,0.90
Prototyping,intermediate,User-Centered Design,0.9,UI/UX Designer,0.50
Systems Analysis,beginner,Business Processes,0.5,Systems Analyst,0.50
Systems Analysis,beginner,Business Processes,0.7,Systems Analyst,0.60
Systems Analysis,beginner,Business Processes,0.9,Systems Analyst,0.70
Requirements Gathering,intermediate,System Efficiency,0.5,Systems Analyst,0.80
Requirements Gathering,intermediate,System Efficiency,0.7,Systems Analyst,0.90
Requirements Gathering,intermediate,System Efficiency,0.9,Systems Analyst,0.50
Troubleshooting,beginner,Hardware Maintenance,0.5,IT Support Technician,0.50
Troubleshooting,beginner,Hardware Maintenance,0.7,IT Support Technician,0.60
Troubleshooting,beginner,Hardware Maintenance,0.9,IT Support Technician,0.70
Technical Writing,beginner,Documentation,0.5,Technical Writer,0.50
Technical Writing,beginner,Documentation,0.7,Technical Writer,0.60
Technical Writing,beginner,Documentation,0.9,Technical Writer,0.70
Supply Chain Management,beginner,Inventory Control,0.5,Supply Chain Manager,0.50
Supply Chain Management,beginner,Inventory Control,0.7,Supply Chain Manager,0.60
Supply Chain Management,beginner,Inventory Control,0.9,Supply Chain Manager,0.70
Logistics,intermediate,Logistics Planning,0.5,Supply Chain Manager,0.80
Logistics,intermediate,Logistics Planning,0.7,Supply Chain Manager,0.90
Logistics,intermediate,Logistics Planning,0.9,Supply Chain Manager,0.50
Operations Management,beginner,Business Efficiency,0.5,Operations Manager,0.50
Operations Management,beginner,Business Efficiency,0.7,Operations Manager,0.60
Operations Management,beginner,Business Efficiency,0.9,Operations Manager,0.70
Process Improvement,intermediate,Process Optimization,0.5,Operations Manager,0.80
Process Improvement,intermediate,Process Optimization,0.7,Operations Manager,0.90
Process Improvement,intermediate,Process Optimization,0.9,Operations Manager,0.50
Product Design,beginner,Design Innovation,0.5,Product Designer,0.50
Product Design,beginner,Design Innovation,0.7,Product Designer,0.60
Product Design,beginner,Design Innovation,0.9,Product Designer,0.70
CAD,intermediate,Product Aesthetics,0.5,Product Designer,0.80
CAD,intermediate,Product Aesthetics,0.7,Product Designer,0.90
CAD,intermediate,Product Aesthetics,0.9,Product Designer,0.50
Social Media Management,beginner,Social Media Campaigns,0.5,Social Media Manager,0.50
Social Media Management,beginner,Social Media Campaigns,0.7,Social Media Manager,0.60
Social Media Management,beginner,Social Media Campaigns,0.9,Social Media Manager,0.70
Content Creation,intermediate,Content Marketing,0.5,Social Media Manager,0.80
Content Creation,intermediate,Content Marketing,0.7,Social Media Manager,0.90
Content Creation,intermediate,Content Marketing,0.9,Social Media Manager,0.50
 Entry,beginner, Accuracy,0.5, Entry Specialist,0.50
 Entry,beginner, Accuracy,0.7, Entry Specialist,0.60
 Entry,beginner, Accuracy,0.9, Entry Specialist,0.70
Accuracy,intermediate, Management,0.5, Entry Specialist,0.80
Accuracy,intermediate, Management,0.7, Entry Specialist,0.90
Accuracy,intermediate, Management,0.9, Entry Specialist,0.50
Business Consulting,beginner,Business Strategy,0.5,Business Consultant,0.50
Business Consulting,beginner,Business Strategy,0.7,Business Consultant,0.60
Business Consulting,beginner,Business Strategy,0.9,Business Consultant,0.70
Strategy Development,intermediate,Client Consulting,0.5,Business Consultant,0.80
Strategy Development,intermediate,Client Consulting,0.7,Business Consultant,0.90
Strategy Development,intermediate,Client Consulting,0.9,Business Consultant,0.50
Technical Skills,beginner,Technical Repairs,0.5,Technician,0.50
Technical Skills,beginner,Technical Repairs,0.7,Technician,0.60
Technical Skills,beginner,Technical Repairs,0.9,Technician,0.70
Maintenance,intermediate,Equipment Maintenance,0.5,Technician,0.80
Maintenance,intermediate,Equipment Maintenance,0.7,Technician,0.90
Maintenance,intermediate,Equipment Maintenance,0.9,Technician,0.50
Medical Knowledge,beginner,Healthcare,0.5,Nurse,0.50
Medical Knowledge,beginner,Healthcare,0.7,Nurse,0.60
Medical Knowledge,beginner,Healthcare,0.9,Nurse,0.70
Patient Care,intermediate,Patient Well-being,0.5,Nurse,0.80
Patient Care,intermediate,Patient Well-being,0.7,Nurse,0.90
Patient Care,intermediate,Patient Well-being,0.9,Nurse,0.50
Painting Techniques,beginner,Artistic Creation,0.5,Painter,0.50
Painting Techniques,beginner,Artistic Creation,0.7,Painter,0.60
Painting Techniques,beginner,Artistic Creation,0.9,Painter,0.70
Financial Record-Keeping,beginner,Financial Records,0.5,Accounting Assistant,0.50
Financial Record-Keeping,beginner,Financial Records,0.7,Accounting Assistant,0.60
Financial Record-Keeping,beginner,Financial Records,0.9,Accounting Assistant,0.70
Excel,intermediate,Bookkeeping,0.5,Accounting Assistant,0.80
Excel,intermediate,Bookkeeping,0.7,Accounting Assistant,0.90
Excel,intermediate,Bookkeeping,0.9,Accounting Assistant,0.50
Accounting,beginner,Financial Transactions,0.5,Accounting Clerk,0.50
Accounting,beginner,Financial Transactions,0.7,Accounting Clerk,0.60
Accounting,beginner,Financial Transactions,0.9,Accounting Clerk,0.70
Bookkeeping,intermediate,Ledger Maintenance,0.5,Accounting Clerk,0.80
Bookkeeping,intermediate,Ledger Maintenance,0.7,Accounting Clerk,0.90
Bookkeeping,intermediate,Ledger Maintenance,0.9,Accounting Clerk,0.50
Accounting,beginner,Financial Oversight,0.5,Accounting Director,0.50
Accounting,beginner,Financial Oversight,0.7,Accounting Director,0.60
Accounting,beginner,Financial Oversight,0.9,Accounting Director,0.70
Financial Reporting,intermediate,Accounting Leadership,0.5,Accounting Director,0.80
Financial Reporting,intermediate,Accounting Leadership,0.7,Accounting Director,0.90
Financial Reporting,intermediate,Accounting Leadership,0.9,Accounting Director,0.50
Medical Diagnosis,beginner,Medical Research,0.5,Doctor,0.50
Medical Diagnosis,beginner,Medical Research,0.7,Doctor,0.60
Medical Diagnosis,beginner,Medical Research,0.9,Doctor,0.70
Treatment Planning,intermediate,Patient Care,0.5,Doctor,0.80
Treatment Planning,intermediate,Patient Care,0.7,Doctor,0.90
Treatment Planning,intermediate,Patient Care,0.9,Doctor,0.50
Patient Care,advanced,Disease Diagnosis,0.5,Doctor,0.60
Patient Care,advanced,Disease Diagnosis,0.7,Doctor,0.70
Patient Care,advanced,Disease Diagnosis,0.9,Doctor,0.80
Medication Dispensing,beginner,Medication Management,0.5,Pharmacist,0.50
Medication Dispensing,beginner,Medication Management,0.7,Pharmacist,0.60
Medication Dispensing,beginner,Medication Management,0.9,Pharmacist,0.70
Drug Interaction Knowledge,intermediate,Patient Counseling,0.5,Pharmacist,0.80
Drug Interaction Knowledge,intermediate,Patient Counseling,0.7,Pharmacist,0.90
Drug Interaction Knowledge,intermediate,Patient Counseling,0.9,Pharmacist,0.50
Physical Therapy Techniques,beginner,Physical Rehabilitation,0.5,Physical Therapist,0.50
Physical Therapy Techniques,beginner,Physical Rehabilitation,0.7,Physical Therapist,0.60
Physical Therapy Techniques,beginner,Physical Rehabilitation,0.9,Physical Therapist,0.70
Patient Rehabilitation,intermediate,Injury Recovery,0.5,Physical Therapist,0.80
Patient Rehabilitation,intermediate,Injury Recovery,0.7,Physical Therapist,0.90
Patient Rehabilitation,intermediate,Injury Recovery,0.9,Physical Therapist,0.50
Medical Imaging Interpretation,beginner,Radiology Imaging,0.5,Radiologist,0.50
Medical Imaging Interpretation,beginner,Radiology Imaging,0.7,Radiologist,0.60
Medical Imaging Interpretation,beginner,Radiology Imaging,0.9,Radiologist,0.70
Diagnostic Skills,intermediate,Disease Detection,0.5,Radiologist,0.80
Diagnostic Skills,intermediate,Disease Detection,0.7,Radiologist,0.90
Diagnostic Skills,intermediate,Disease Detection,0.9,Radiologist,0.50
Surgical Procedures,beginner,Surgical Techniques,0.5,Surgeon,0.50
Surgical Procedures,beginner,Surgical Techniques,0.7,Surgeon,0.60
Surgical Procedures,beginner,Surgical Techniques,0.9,Surgeon,0.70
Precision,intermediate,Life-Saving Procedures,0.5,Surgeon,0.80
Precision,intermediate,Life-Saving Procedures,0.7,Surgeon,0.90
Precision,intermediate,Life-Saving Procedures,0.9,Surgeon,0.50
Decision-Making,advanced,Surgical Innovation,0.5,Surgeon,0.60
Decision-Making,advanced,Surgical Innovation,0.7,Surgeon,0.70
Decision-Making,advanced,Surgical Innovation,0.9,Surgeon,0.80
Psychiatric Evaluation,beginner,Mental Health,0.5,Psychiatrist,0.50
Psychiatric Evaluation,beginner,Mental Health,0.7,Psychiatrist,0.60
Psychiatric Evaluation,beginner,Mental Health,0.9,Psychiatrist,0.70
Mental Health Treatment,intermediate,Patient Counseling,0.5,Psychiatrist,0.80
Mental Health Treatment,intermediate,Patient Counseling,0.7,Psychiatrist,0.90
Mental Health Treatment,intermediate,Patient Counseling,0.9,Psychiatrist,0.50
Mechanical Design,beginner,Mechanical Systems,0.5,Mechanical Engineer,0.50
Mechanical Design,beginner,Mechanical Systems,0.7,Mechanical Engineer,0.60
Mechanical Design,beginner,Mechanical Systems,0.9,Mechanical Engineer,0.70
Thermodynamics,intermediate,Innovation,0.5,Mechanical Engineer,0.80
Thermodynamics,intermediate,Innovation,0.7,Mechanical Engineer,0.90
Thermodynamics,intermediate,Innovation,0.9,Mechanical Engineer,0.50
CAD,advanced,Problem-Solving,0.5,Mechanical Engineer,0.60
CAD,advanced,Problem-Solving,0.7,Mechanical Engineer,0.70
CAD,advanced,Problem-Solving,0.9,Mechanical Engineer,0.80
Civil Engineering,beginner,Infrastructure Development,0.5,Civil Engineer,0.50
Civil Engineering,beginner,Infrastructure Development,0.7,Civil Engineer,0.60
Civil Engineering,beginner,Infrastructure Development,0.9,Civil Engineer,0.70
Structural Design,intermediate,Building Design,0.5,Civil Engineer,0.80
Structural Design,intermediate,Building Design,0.7,Civil Engineer,0.90
Structural Design,intermediate,Building Design,0.9,Civil Engineer,0.50
Project Management,advanced,Urban Planning,0.5,Civil Engineer,0.60
Project Management,advanced,Urban Planning,0.7,Civil Engineer,0.70
Project Management,advanced,Urban Planning,0.9,Civil Engineer,0.80
Electrical Systems,beginner,Electrical Systems,0.5,Electrical Engineer,0.50
Electrical Systems,beginner,Electrical Systems,0.7,Electrical Engineer,0.60
Electrical Systems,beginner,Electrical Systems,0.9,Electrical Engineer,0.70
Circuit Design,intermediate,Electronics,0.5,Electrical Engineer,0.80
Circuit Design,intermediate,Electronics,0.7,Electrical Engineer,0.90
Circuit Design,intermediate,Electronics,0.9,Electrical Engineer,0.50
Power Distribution,advanced,Energy Solutions,0.5,Electrical Engineer,0.60
Power Distribution,advanced,Energy Solutions,0.7,Electrical Engineer,0.70
Power Distribution,advanced,Energy Solutions,0.9,Electrical Engineer,0.80
Aerospace Engineering,beginner,Aerospace Innovation,0.5,Aerospace Engineer,0.50
Aerospace Engineering,beginner,Aerospace Innovation,0.7,Aerospace Engineer,0.60
Aerospace Engineering,beginner,Aerospace Innovation,0.9,Aerospace Engineer,0.70
Aerodynamics,intermediate,Space Exploration,0.5,Aerospace Engineer,0.80
Aerodynamics,intermediate,Space Exploration,0.7,Aerospace Engineer,0.90
Aerodynamics,intermediate,Space Exploration,0.9,Aerospace Engineer,0.50
Space Technology,advanced,Aircraft Design,0.5,Aerospace Engineer,0.60
Space Technology,advanced,Aircraft Design,0.7,Aerospace Engineer,0.70
Space Technology,advanced,Aircraft Design,0.9,Aerospace Engineer,0.80
Software Development,beginner,Software Coding,0.5,Software Engineer,0.50
Software Development,beginner,Software Coding,0.7,Software Engineer,0.60
Software Development,beginner,Software Coding,0.9,Software Engineer,0.70
Programming Languages,intermediate,Application Development,0.5,Software Engineer,0.80
Programming Languages,intermediate,Application Development,0.7,Software Engineer,0.90
Programming Languages,intermediate,Application Development,0.9,Software Engineer,0.50
Algorithms,advanced,Software Innovation,0.5,Software Engineer,0.60
Algorithms,advanced,Software Innovation,0.7,Software Engineer,0.70
Algorithms,advanced,Software Innovation,0.9,Software Engineer,0.80
Biomedical Engineering,beginner,Medical Technology,0.5,Biomedical Engineer,0.50
Biomedical Engineering,beginner,Medical Technology,0.7,Biomedical Engineer,0.60
Biomedical Engineering,beginner,Medical Technology,0.9,Biomedical Engineer,0.70
Medical Devices,intermediate,Biomedical Innovation,0.5,Biomedical Engineer,0.80
Medical Devices,intermediate,Biomedical Innovation,0.7,Biomedical Engineer,0.90
Medical Devices,intermediate,Biomedical Innovation,0.9,Biomedical Engineer,0.50
Healthcare Technology,advanced,Healthcare Solutions,0.5,Biomedical Engineer,0.60
Healthcare Technology,advanced,Healthcare Solutions,0.7,Biomedical Engineer,0.70
Healthcare Technology,advanced,Healthcare Solutions,0.9,Biomedical Engineer,0.80
Web Development,beginner,Frontend Development,0.5,Web Developer,0.50
Web Development,beginner,Frontend Development,0.7,Web Developer,0.60
Web Development,beginner,Frontend Development,0.9,Web Developer,0.70
HTML,intermediate,User Experience Design,0.5,Web Developer,0.80
HTML,intermediate,User Experience Design,0.7,Web Developer,0.90
HTML,intermediate,User Experience Design,0.9,Web Developer,0.50
CSS,advanced,Web Technologies,0.5,Web Developer,0.60
CSS,advanced,Web Technologies,0.7,Web Developer,0.70
CSS,advanced,Web Technologies,0.9,Web Developer,0.80
 Analysis,beginner, Analysis,0.5,Computer Scientist,0.50
 Analysis,beginner, Analysis,0.7,Computer Scientist,0.60
 Analysis,beginner, Analysis,0.9,Computer Scientist,0.70
Machine Learning,intermediate,Predictive Modeling,0.5,Computer Scientist,0.80
Machine Learning,intermediate,Predictive Modeling,0.7,Computer Scientist,0.90
Machine Learning,intermediate,Predictive Modeling,0.9,Computer Scientist,0.50
Statistics,advanced, Insights,0.5,Computer Scientist,0.60
Statistics,advanced, Insights,0.7,Computer Scientist,0.70
Statistics,advanced, Insights,0.9,Computer Scientist,0.80
Network Management,beginner,Network Security,0.5,Network Administrator,0.50
Network Management,beginner,Network Security,0.7,Network Administrator,0.60
Network Management,beginner,Network Security,0.9,Network Administrator,0.70
